Brand,Model,Green Ticks,Cooling Capacity (kW),Full Load COP,COP at 75% Part Load,COP at 50% Part Load,COP at 25% Part Load,IEER,Annual Energy Consumption (kWh),Annual Energy Cost ($),Date of Expiry,Number of Indoor Units Used for Test,Model No. of Indoor Units Used for Test
GREE,GMVL-335WM/G-X(P),2,32.77,3.91,4.61,5.28,5.51,4.87,1698,1698,30/03/2025,12,"GMV-ND36T/C2-T , GMV-ND36T/C2-T , GMV-ND36T/C2-T , GMV-ND36T/C2-T , GMV-ND36T/C2-T , GMV-ND36T/C2-T , GMV-ND18T/C2-T , GMV-ND18T/C2-T , GMV-ND18T/C2-T , GMV-ND18T/C2-T , GMV-ND18T/C2-T , GMV-ND18T/C2-T "
GREE,GMV-Y280WM/D-X(S),2,27.16,4.07,4.78,5.47,5.45,5.01,1724,1724,11/05/2026,12,"GMV-ND36T/C2-T, GMV-ND36T/C2-T, GMV-ND36T/C2-T, GMV-ND36T/C2-T, GMV-ND18T/C2-T, GMV-ND18T/C2-T, GMV-ND18T/C2-T, GMV-ND18T/C2-T, GMV-ND18T/C2-T, GMV-ND18T/C2-T, GMV-ND18T/C2-T, GMV-ND18T/C2-T"
Hitachi,RAS-120HNCBLW,3,32.85,4.66,5.06,5.83,5.39,5.28,1918,1918,24/09/2025,9,"RCI-1.3FSKDN1Q, RCI-1.3FSKDN1Q, RCI-1.3FSKDN1Q, RCI-1.3FSKDN1Q, RCI-1.3FSKDN1Q, RCI-1.3FSKDN1Q, RCI-1.3FSKDN1Q, RCI-1.3FSKDN1Q, RCI-1.3FSKDN1Q"
Hitachi,RAS-20HNBBMQ,1,54.91,3.63,4.34,5.10,5.48,4.65,3632,3632,19/04/2027,16,"RCI- 1.0FSKDNQ, RCI- 1.0FSKDNQ, RCI- 1.0FSKDNQ, RCI- 2.0FSKDNQ, RCI- 1.0FSKDNQ, RCI- 1.0FSKDNQ, RCI- 1.0FSKDNQ, RCI- 3.0FSKDNQ, RCI- 1.0FSKDNQ, RCI- 1.0FSKDNQ, RCI- 1.0FSKDNQ, RCI- 1.0FSKDNQ, RCI- 1.0FSKDNQ, RCI- 1.0FSKDNQ, RCI- 1.0FSKDNQ, RCI- 3.0FSKDNQ"
Hitachi,RAS-220HNCBLW,2,59.72,3.86,4.59,5.41,6.44,5.00,3598,3598,25/09/2025,12,"RCI-1.5FSKDN1Q, RCI-2.0FSKDN1Q, RCI-2.5FSKDN1Q, RCI-1.5FSKDN1Q, RCI-2.0FSKDN1Q, RCI-2.5FSKDN1Q, RCI-1.5FSKDN1Q, RCI-1.5FSKDN1Q, RCI-2.5FSKDN1Q, RCI-1.5FSKDN1Q, RCI-1.5FSKDN1Q, RCI-2.5FSKDN1Q"
Hitachi,RAS-8.0HNBBMQ,2,21.94,4.12,4.66,5.44,4.80,4.85,1434,1434,07/04/2027,6,"RCI-1.0FSKDNQ, RCI-1.0FSKDNQ, RCI-1.5FSKDNQ, RCI-1.0FSKDNQ, RCI-1.0FSKDNQ, RCI-3.0FSKDNQ"
Hitachi,RAS-100HNCBLW,4,27.32,4.82,5.64,6.28,5.76,5.79,1481,1481,24/09/2025,8,"RCI-1.3FSKDN1Q, RCI-1.3FSKDN1Q, RCI-1.3FSKDN1Q, RCI-1.3FSKDN1Q, RCI-1.3FSKDN1Q, RCI-1.3FSKDN1Q, RCI-1.3FSKDN1Q, RCI-1.3FSKDN1Q"
Hitachi,RAS-080HNCELW,2,21.62,4.11,4.71,5.23,5.43,4.91,1711,1711,23/06/2027,6,"RCI-1.0FSKDNQ, RCI-1.0FSKDNQ, RCI-1.5FSKDNQ, RCI-1.0FSKDNQ, RCI-1.0FSKDNQ, RCI-3.0FSKDNQ"
Hitachi,RAS-160HNCELW,1,43.58,3.66,3.99,4.81,5.48,4.36,3496,3496,23/06/2027,14,"RCI- 1.0FSKDNQ, RCI- 1.0FSKDNQ, RCI- 1.0FSKDNQ, RCI- 1.0FSKDNQ, RCI- 1.0FSKDNQ, RCI- 1.0FSKDNQ, RCI- 3.0FSKDNQ, RCI- 1.0FSKDNQ, RCI- 1.0FSKDNQ, RCI- 1.0FSKDNQ, RCI- 1.5FSKDNQ, RCI- 1.0FSKDNQ, RCI- 1.0FSKDNQ, RCI- 1.5FSKDNQ"
Hitachi,RAS-140HNCELW,1,38.71,3.66,4.22,4.78,4.64,4.39,3080,3080,23/06/2027,12,"RCI- 1.0FSKDNQ, RCI- 1.0FSKDNQ, RCI- 1.0FSKDNQ, RCI- 1.0FSKDNQ, RCI- 1.0FSKDNQ, RCI- 1.0FSKDNQ, RCI- 1.0FSKDNQ, RCI- 1.0FSKDNQ, RCI- 1.0FSKDNQ, RCI- 1.0FSKDNQ, RCI- 1.0FSKDNQ, RCI- 4.0FSKDNQ"
